idZone,nameZone,idQuartier,piece,epoque,type,ref_2015,ref_2016,refmin_2015,refmin_2016,refmaj_2015,refmaj_2016
9,Grandes-Carrières,69,1 pièce,avant 1946,Non meublée,25.2,25.6,17.6,17.9,30.2,30.7
9,Clignancourt,70,1 pièce,avant 1946,Non meublée,25.2,25.6,17.6,17.9,30.2,30.7
10,Jardin-des-Plantes,18,1 pièce,avant 1946,Non meublée,27.0,26.9,18.9,18.8,32.4,32.3
10,Saint-Ambroise,42,1 pièce,avant 1946,Non meublée,27.0,26.9,18.9,18.8,32.4,32.3
10,Sainte-Marguerite,44,1 pièce,avant 1946,Non meublée,27.0,26.9,18.9,18.8,32.4,32.3
10,Salpétrière,49,1 pièce,avant 1946,Non meublée,27.0,26.9,18.9,18.8,32.4,32.3
10,Petit-Montrouge,55,1 pièce,avant 1946,Non meublée,27.0,26.9,18.9,18.8,32.4,32.3
10,Batignolles,67,1 pièce,avant 1946,Non meublée,27.0,26.9,18.9,18.8,32.4,32.3
11,Porte-Saint-Martin,39,1 pièce,avant 1946,Non meublée,28.2,28.8,19.7,20.2,33.8,34.6
11,Hôpital-Saint-Louis,40,1 pièce,avant 1946,Non meublée,28.2,28.8,19.7,20.2,33.8,34.6
11,Folie-Méricourt,41,1 pièce,avant 1946,Non meublée,28.2,28.8,19.7,20.2,33.8,34.6
11,Roquette,43,1 pièce,avant 1946,Non meublée,28.2,28.8,19.7,20.2,33.8,34.6
11,Quinze-Vingts,48,1 pièce,avant 1946,Non meublée,28.2,28.8,19.7,20.2,33.8,34.6
11,Parc-de-Montsouris,54,1 pièce,avant 1946,Non meublée,28.2,28.8,19.7,20.2,33.8,34.6
11,Epinettes,68,1 pièce,avant 1946,Non meublée,28.2,28.8,19.7,20.2,33.8,34.6
11,Goutte-d'Or,71,1 pièce,avant 1946,Non meublée,28.2,28.8,19.7,20.2,33.8,34.6
11,Belleville,77,1 pièce,avant 1946,Non meublée,28.2,28.8,19.7,20.2,33.8,34.6
12,Maison-Blanche,51,1 pièce,avant 1946,Non meublée,29.4,29.4,20.6,20.6,35.3,35.3
12,Plaisance,56,1 pièce,avant 1946,Non meublée,29.4,29.4,20.6,20.6,35.3,35.3
13,Gare,50,1 pièce,avant 1946,Non meublée,25.0,24.5,17.5,17.2,30.0,29.4
13,La Chapelle,72,1 pièce,avant 1946,Non meublée,25.0,24.5,17.5,17.2,30.0,29.4
13,Villette,73,1 pièce,avant 1946,Non meublée,25.0,24.5,17.5,17.2,30.0,29.4
13,Pont-de-Flandre,74,1 pièce,avant 1946,Non meublée,25.0,24.5,17.5,17.2,30.0,29.4
13,Amérique,75,1 pièce,avant 1946,Non meublée,25.0,24.5,17.5,17.2,30.0,29.4
13,Saint-Fargeau,78,1 pièce,avant 1946,Non meublée,25.0,24.5,17.5,17.2,30.0,29.4
13,Charonne,80,1 pièce,avant 1946,Non meublée,25.0,24.5,17.5,17.2,30.0,29.4
14,Bel-Air,45,1 pièce,avant 1946,Non meublée,24.4,25.8,17.1,18.1,29.3,31.0
14,Bercy,47,1 pièce,avant 1946,Non meublée,24.4,25.8,17.1,18.1,29.3,31.0
14,Combat,76,1 pièce,avant 1946,Non meublée,24.4,25.8,17.1,18.1,29.3,31.0
14,Père-Lachaise,79,1 pièce,avant 1946,Non meublée,24.4,25.8,17.1,18.1,29.3,31.0
1,Notre-Dame-des-Champs,23,1 pièce,avant 1946,Meublée,34.7,35.4,24.3,24.8,41.6,42.5
1,Saint-Thomas-d'Aquin,25,1 pièce,avant 1946,Meublée,34.7,35.4,24.3,24.8,41.6,42.5
1,Invalides,26,1 pièce,avant 1946,Meublée,34.7,35.4,24.3,24.8,41.6,42.5
1,Ecole-Militaire,27,1 pièce,avant 1946,Meublée,34.7,35.4,24.3,24.8,41.6,42.5
1,Gros-Caillou,28,1 pièce,avant 1946,Meublée,34.7,35.4,24.3,24.8,41.6,42.5
2,St-Germain-l'Auxerrois,1,1 pièce,avant 1946,Meublée,33.6,34.2,23.5,23.9,40.3,41.0
2,Palais-Royal,3,1 pièce,avant 1946,Meublée,33.6,34.2,23.5,23.9,40.3,41.0
2,Place-Vendôme,4,1 pièce,avant 1946,Meublée,33.6,34.2,23.5,23.9,40.3,41.0
